City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,chegdomyn,51.1167,133.0167,273.38,60,11,1.11,RU,1715276934
83,crane,31.3974,-102.3501,303.41,13,0,8.73,US,1715276935
84,mineiros,-17.5694,-52.5511,302.34,38,41,1.7,BR,1715276935
85,bodaybo,57.8506,114.1933,277.24,98,100,2.29,RU,1715276935
86,yuxi,24.355,102.5422,289.05,94,100,1.26,CN,1715276935
87,ushuaia,-54.8,-68.3,274.96,69,0,1.03,AR,1715276935
88,galesong,-5.3166,119.3661,298.16,85,48,1.33,ID,1715276935
89,east london,-33.0153,27.9116,291.67,94,0,1.03,ZA,1715276935
90,port lincoln,-34.7333,135.8667,287.05,80,0,4.28,AU,1715276935
91,hasaki,35.7333,140.8333,281.37,48,0,2.83,JP,1715276935
92,sakaiminato,35.55,133.2333,282.11,93,5,3.09,JP,1715276935
93,talnakh,69.4865,88.3972,262.15,85,21,1.07,RU,1715276824
94,cidreira,-30.1811,-50.2056,291.07,60,48,4.68,BR,1715276936
95,tarauaca,-8.1614,-70.7656,303.0,69,62,1.41,BR,1715276936
96,anadyr,64.75,177.4833,265.43,73,0,5.0,RU,1715276936
97,tocache,-8.1842,-76.5125,305.36,53,99,0.26,PE,1715276936
98,hamilton,39.1834,-84.5333,295.98,77,100,3.09,US,1715276847
99,qaqortoq,60.7167,-46.0333,277.33,62,100,1.28,GL,1715276936
100,kirensk,57.7853,108.1119,278.13,94,100,2.68,RU,1715276936
101,bredasdorp,-34.5322,20.0403,286.01,81,0,2.41,ZA,1715276936
102,west island,-12.1568,96.8225,300.14,78,40,8.23,CC,1715276937
103,longyearbyen,78.2186,15.6401,273.06,69,75,10.29,SJ,1715276782
104,meulaboh,4.1363,96.1285,298.94,92,74,2.13,ID,1715276937
105,petropavlovsk-kamchatsky,53.0452,158.6483,276.73,66,0,6.26,RU,1715276937
106,jamestown,42.097,-79.2353,289.92,58,100,3.6,US,1715276937
107,zhangye,38.9342,100.4517,288.86,52,100,6.06,CN,1715276937
108,bulancak,40.9372,38.2291,288.05,88,40,1.54,TR,1715276937
109,port alfred,-33.5906,26.891,290.47,95,9,0.94,ZA,1715276697
110,goshogawara,40.8044,140.4414,284.54,67,61,3.07,JP,1715276937
111,kwang binh,17.4833,106.6,298.95,91,13,1.75,VN,1715276937
112,kirakira,-10.4544,161.9205,298.55,85,98,3.38,SB,1715276938
113,papatowai,-46.5619,169.4708,282.54,89,98,6.65,NZ,1715276938
114,bardai,11.65,7.2333,308.74,15,51,2.48,NG,1715276938
115,tiksi,71.6872,128.8694,269.62,92,100,1.38,RU,1715276938
116,happy valley-goose bay,53.3168,-60.3315,279.32,61,75,2.06,CA,1715276709
117,cruzilia,-21.8386,-44.8083,297.87,52,60,1.89,BR,1715276938
118,tommot,58.9564,126.2925,271.11,94,67,0.51,RU,1715276938
119,sinop,41.7711,34.8709,285.06,96,100,0.81,TR,1715276938
120,northam,51.0333,-4.2167,290.18,83,78,2.0,GB,1715276938
121,levuka,50.1834,-105.4011,291.05,45,20,9.77,CA,1715276938
122,puerto natales,-51.7236,-72.4875,275.4,87,75,2.06,CL,1715276839
123,vorgashor,67.5833,63.95,270.82,74,100,9.34,RU,1715276939
124,kodiak,57.79,-152.4072,274.88,69,75,2.06,US,1715276939
125,colares,38.7992,-9.4469,299.7,68,0,3.6,PT,1715276939
126,morondava,-20.2833,44.2833,298.91,73,0,4.4,MG,1715276939
127,panacan,9.2463,118.4082,300.36,79,71,1.44,PH,1715276939
128,bonthe,7.5264,-12.505,302.93,72,98,5.6,SL,1715276939
129,sikeston,36.8767,-89.5879,300.09,36,0,5.9,US,1715276784
130,berbera,10.4396,45.0143,305.34,67,34,4.09,SO,1715276939
131,thompson,55.7435,-97.8558,282.24,81,75,2.57,CA,1715276939
132,nova sintra,14.8667,-24.7167,296.23,79,17,10.87,CV,1715276940
133,francistown,-21.17,27.5079,291.74,44,0,4.53,BW,1715276940
134,el granada,37.5027,-122.4694,298.07,32,0,4.12,US,1715276940
135,altai,46.3722,96.2583,278.57,45,1,1.96,MN,1715276940
136,kiunga,-6.1219,141.2906,296.48,100,100,0.35,PG,1715276940
137,mek'ele,13.4967,39.4753,294.17,64,47,8.01,ET,1715276940
138,port elizabeth,-33.918,25.5701,290.55,95,0,5.66,ZA,1715276940
139,arraial do cabo,-22.9661,-42.0278,307.13,58,0,3.6,BR,1715276710
140,tromso,69.6496,18.957,278.16,75,75,4.63,NO,1715276940
141,richfield,44.8833,-93.283,291.03,54,40,8.75,US,1715276647
142,miquelon,47.0975,-56.3814,283.15,67,86,1.17,PM,1715276941
143,peace river,56.2501,-117.286,289.32,29,40,3.6,CA,1715276848
144,hithadhoo,-0.6,73.0833,302.66,75,100,4.68,MV,1715276941
145,vila velha,-20.3297,-40.2925,304.24,83,20,5.66,BR,1715276941
146,tolanaro,-25.0319,46.9987,297.19,78,20,8.23,MG,1715276941
147,hammerfest,70.6634,23.6821,276.4,56,75,6.69,NO,1715276941
148,portland,45.5234,-122.6762,295.68,53,20,2.57,US,1715276821
149,newman,37.3138,-121.0208,297.75,41,7,3.58,US,1715276942
150,male,4.1748,73.5089,302.12,84,75,1.03,MV,1715276942
151,durban,-29.8579,31.0292,293.66,83,0,3.23,ZA,1715276750
152,kavieng,-2.5744,150.7967,299.97,82,99,1.81,PG,1715276942
153,vilyuchinsk,52.9306,158.4028,277.55,77,3,4.13,RU,1715276942
154,howrah,22.5892,88.3103,297.15,88,75,4.63,IN,1715276942
155,praia da vitoria,38.7333,-27.0667,295.29,60,20,2.33,PT,1715276942
156,badger,64.8,-147.5333,283.92,59,40,3.09,US,1715276943
157,balkanabat,39.5108,54.3671,293.97,45,69,2.66,TM,1715276943
158,bilibino,68.0546,166.4372,267.77,95,68,0.99,RU,1715276943
159,natal,-5.795,-35.2094,304.51,62,40,6.17,BR,1715276718
160,new norfolk,-42.7826,147.0587,285.33,95,97,0.89,AU,1715276943
161,brookings,44.3114,-96.7984,292.34,46,0,5.14,US,1715276772
162,mar del plata,-38.0023,-57.5575,290.34,36,0,5.36,AR,1715276828
163,nuku'alofa,-21.1333,-175.2,295.34,78,20,3.6,TO,1715276943
164,chincholi,17.4667,77.4333,302.7,48,77,4.47,IN,1715276943
165,mount gambier,-37.8333,140.7667,283.38,83,74,1.84,AU,1715276943
166,lisakovsk,52.5369,62.4936,280.63,60,14,2.76,KZ,1715276944
167,aasiaat,68.7098,-52.8699,268.13,76,51,3.05,GL,1715276944
168,manokwari,-0.8667,134.0833,299.15,85,97,1.98,ID,1715276944
169,nobres,-14.7203,-56.3275,307.54,32,6,1.7,BR,1715276944
170,madinat ash shamal,26.1293,51.2009,299.7,50,0,7.06,QA,1715276944
171,punta arenas,-53.15,-70.9167,278.21,65,75,2.06,CL,1715276714
172,dudinka,69.4058,86.1778,262.38,96,13,3.22,RU,1715276944
